recipe_name,ingredient_name,quantity,unit,is_optional
제육볶음,돼지고기 목살,300,g,false
제육볶음,양파,1,개,false
제육볶음,대파,1,대,false
제육볶음,고추장,2,큰술,false
제육볶음,진간장,1,큰술,false
제육볶음,설탕,1,큰술,false
제육볶음,마늘 다진것,1,큰술,false
제육볶음,참기름,1,작은술,false
제육볶음,청양고추,1,개,true
제육볶음,깻잎,5,장,true
불고기,소고기 등심,300,g,false
불고기,양파,1,개,false
불고기,당근,0.5,개,false
불고기,진간장,3,큰술,false
불고기,설탕,2,큰술,false
불고기,마늘 다진것,1,큰술,false
불고기,참기름,1,큰술,false
불고기,대파,1,대,true
불고기,버섯 표고,3,개,true
닭볶음탕,닭다리,500,g,false
닭볶음탕,감자,2,개,false
닭볶음탕,당근,1,개,false
닭볶음탕,양파,1,개,false
닭볶음탕,고추장,2,큰술,false
닭볶음탕,진간장,2,큰술,false
닭볶음탕,설탕,1,큰술,false
닭볶음탕,마늘 다진것,1,큰술,false
닭볶음탕,대파,1,대,true
닭볶음탕,청양고추,2,개,true
삼겹살구이,돼지고기 삼겹살,400,g,false
삼겹살구이,마늘,5,쪽,false
삼겹살구이,상추,10,장,false
삼겹살구이,깻잎,10,장,false
삼겹살구이,쌈장,2,큰술,false
삼겹살구이,청양고추,2,개,true
삼겹살구이,파김치,0.5,컵,true
고등어구이,고등어,1,마리,false
고등어구이,소금,1,큰술,false
고등어구이,식용유,1,큰술,false
고등어구이,레몬,0.25,개,true
고등어구이,쪽파,1,대,true
미역국,미역,30,g,false
미역국,소고기 양지,200,g,false
미역국,참기름,1,큰술,false
미역국,국간장,1,큰술,false
미역국,마늘 다진것,1,큰술,false
콩나물국,콩나물,200,g,false
콩나물국,멸치,10,g,false
콩나물국,마늘 다진것,1,큰술,false
콩나물국,국간장,1,큰술,false
콩나물국,대파,1,대,false
콩나물국,청양고추,1,개,true
오징어볶음,오징어,2,마리,false
오징어볶음,양파,1,개,false
오징어볶음,양배추,2,장,false
오징어볶음,당근,0.5,개,false
오징어볶음,고추장,2,큰술,false
오징어볶음,고춧가루,1,큰술,false
오징어볶음,진간장,1,큰술,false
오징어볶음,마늘 다진것,1,큰술,false
오징어볶음,청양고추,1,개,true
오징어볶음,대파,1,대,true
잡채,소면,200,g,false
잡채,소고기 등심,150,g,false
잡채,시금치,100,g,false
잡채,당근,0.5,개,false
잡채,양파,0.5,개,false
잡채,버섯 표고,3,개,false
잡채,진간장,3,큰술,false
잡채,설탕,2,큰술,false
잡채,참기름,2,큰술,false
잡채,버섯 느타리,50,g,true
계란국,계란,2,개,false
계란국,멸치,10,g,false
계란국,대파,1,대,false
계란국,국간장,1,큰술,false
계란국,후추,0.5,작은술,false
북엇국,명태,50,g,false
북엇국,무,100,g,false
북엇국,계란,1,개,false
북엇국,참기름,1,큰술,false
북엇국,국간장,1,큰술,false
북엇국,대파,1,대,false
북엇국,마늘 다진것,1,작은술,true
간장계란밥,쌀,1,공기,false
간장계란밥,계란,1,개,false
간장계란밥,진간장,1,큰술,false
간장계란밥,참기름,1,작은술,false
간장계란밥,맛김,1,장,false
간장계란밥,식용유,1,작은술,true
콩나물밥,쌀,2,공기,false
콩나물밥,콩나물,200,g,false
콩나물밥,진간장,2,큰술,false
콩나물밥,마늘 다진것,1,큰술,false
콩나물밥,고춧가루,1,큰술,false
콩나물밥,참기름,1,큰술,false
콩나물밥,대파,1,대,true
달걀장조림,계란,8,개,false
달걀장조림,진간장,5,큰술,false
달걀장조림,설탕,3,큰술,false
달걀장조림,청양고추,2,개,false
달걀장조림,마늘,5,쪽,false
감자조림,감자,3,개,false
감자조림,진간장,3,큰술,false
감자조림,설탕,2,큰술,false
감자조림,참기름,1,큰술,false
감자조림,식용유,1,큰술,false
감자조림,청양고추,1,개,true
감자볶음,감자,2,개,false
감자볶음,양파,0.5,개,false
감자볶음,당근,0.5,개,false
감자볶음,식용유,1,큰술,false
감자볶음,소금,1,꼬집,false
감자볶음,후추,0.5,작은술,true
오이무침,오이,2,개,false
오이무침,고춧가루,1,큰술,false
오이무침,설탕,1,작은술,false
오이무침,식초,1,큰술,false
오이무침,마늘 다진것,1,작은술,false
오이무침,참기름,1,작은술,false
오이무침,소금,1,작은술,false
시금치나물,시금치,200,g,false
시금치나물,국간장,1,큰술,false
시금치나물,마늘 다진것,1,작은술,false
시금치나물,참기름,1,큰술,false
시금치나물,소금,1,꼬집,true
콩나물무침,콩나물,200,g,false
콩나물무침,국간장,1,큰술,false
콩나물무침,마늘 다진것,1,작은술,false
콩나물무침,참기름,1,큰술,false
콩나물무침,고춧가루,0.5,작은술,true
토마토파스타,스파게티,200,g,false
토마토파스타,토마토,3,개,false
토마토파스타,마늘 다진것,2,큰술,false
토마토파스타,올리브오일,3,큰술,false
토마토파스타,소금,1,큰술,false
토마토파스타,후추,1,작은술,false
토마토파스타,방울토마토,5,개,true
토마토파스타,모짜렐라 치즈,30,g,true
크림파스타,스파게티,200,g,false
크림파스타,베이컨,80,g,false
크림파스타,생크림,200,ml,false
크림파스타,우유,100,ml,false
크림파스타,양파,0.5,개,false
크림파스타,마늘 다진것,1,큰술,false
크림파스타,모짜렐라 치즈,50,g,false
크림파스타,후추,1,작은술,false
크림파스타,버섯 표고,3,개,true
오일파스타,스파게티,200,g,false
오일파스타,마늘,8,쪽,false
오일파스타,올리브오일,5,큰술,false
오일파스타,청양고추,2,개,false
오일파스타,소금,1,큰술,false
오일파스타,후추,1,작은술,true
오일파스타,베이컨,50,g,true
까르보나라,스파게티,200,g,false
까르보나라,베이컨,100,g,false
까르보나라,계란,2,개,false
까르보나라,체다 치즈,50,g,false
까르보나라,생크림,100,ml,false
까르보나라,후추,1,큰술,false
까르보나라,마늘 다진것,1,큰술,true
샐러드,상추,5,장,false
샐러드,방울토마토,10,개,false
샐러드,오이,1,개,false
샐러드,올리브오일,2,큰술,false
샐러드,식초,1,큰술,false
샐러드,소금,1,작은술,false
샐러드,후추,0.5,작은술,true
샐러드,파프리카,0.5,개,true
시저샐러드,상추,10,장,false
시저샐러드,베이컨,80,g,false
시저샐러드,식빵,2,장,false
시저샐러드,체다 치즈,30,g,false
시저샐러드,올리브오일,2,큰술,false
시저샐러드,후추,1,작은술,false
시저샐러드,마늘 다진것,1,작은술,true
오믈렛,계란,3,개,false
오믈렛,우유,2,큰술,false
오믈렛,버터,1,큰술,false
오믈렛,모짜렐라 치즈,30,g,false
오믈렛,소금,1,꼬집,false
오믈렛,후추,1,작은술,true
프렌치토스트,식빵,3,장,false
프렌치토스트,계란,2,개,false
프렌치토스트,우유,100,ml,false
프렌치토스트,설탕,2,큰술,false
프렌치토스트,버터,1,큰술,false
프렌치토스트,연유,1,큰술,true
햄치즈토스트,식빵,2,장,false
햄치즈토스트,햄,2,장,false
햄치즈토스트,치즈 슬라이스,2,장,false
햄치즈토스트,버터,1,큰술,false
샌드위치,식빵,4,장,false
샌드위치,햄,3,장,false
샌드위치,치즈 슬라이스,2,장,false
샌드위치,상추,4,장,false
샌드위치,토마토,1,개,false
샌드위치,오이,0.5,개,false
샌드위치,버터,2,큰술,false
피자토스트,식빵,2,장,false
피자토스트,모짜렐라 치즈,80,g,false
피자토스트,베이컨,50,g,false
피자토스트,파프리카,0.25,개,false
피자토스트,토마토,0.5,개,false
피자토스트,양파,0.25,개,true
함박스테이크,돼지고기 다짐육,300,g,false
함박스테이크,양파,1,개,false
함박스테이크,계란,1,개,false
함박스테이크,식빵,1,장,false
함박스테이크,우유,3,큰술,false
함박스테이크,소금,1,작은술,false
함박스테이크,후추,1,작은술,false
함박스테이크,식용유,2,큰술,false
함박스테이크,토마토,1,개,true
스테이크,소고기 등심,300,g,false
스테이크,소금,1,큰술,false
스테이크,후추,1,큰술,false
스테이크,올리브오일,2,큰술,false
스테이크,버터,1,큰술,false
스테이크,마늘,3,쪽,false
스테이크,파프리카,0.5,개,true
새우튀김,새우,15,개,false
새우튀김,부침가루,1,컵,false
새우튀김,계란,1,개,false
새우튀김,식용유,500,ml,false
새우튀김,소금,1,작은술,false
새우튀김,레몬,0.25,개,true
연어스테이크,연어,200,g,false
연어스테이크,소금,1,작은술,false
연어스테이크,후추,1,작은술,false
연어스테이크,올리브오일,2,큰술,false
연어스테이크,버터,1,큰술,false
연어스테이크,레몬,0.25,개,true
닭가슴살구이,닭가슴살,300,g,false
닭가슴살구이,소금,1,작은술,false
닭가슴살구이,후추,1,작은술,false
닭가슴살구이,올리브오일,2,큰술,false
닭가슴살구이,마늘,3,쪽,false
닭가슴살구이,레몬,0.25,개,true
치킨샐러드,닭가슴살,200,g,false
치킨샐러드,상추,10,장,false
치킨샐러드,방울토마토,8,개,false
치킨샐러드,체다 치즈,30,g,false
치킨샐러드,올리브오일,2,큰술,false
치킨샐러드,레몬,0.5,개,false
치킨샐러드,후추,1,작은술,true
치킨샐러드,오이,0.5,개,true
오믈렛라이스,쌀,2,공기,false
오믈렛라이스,양파,0.5,개,false
오믈렛라이스,햄,80,g,false
오믈렛라이스,계란,3,개,false
오믈렛라이스,식용유,2,큰술,false
오믈렛라이스,소금,1,작은술,false
오믈렛라이스,당근,0.25,개,true
감자수프,감자,3,개,false
감자수프,양파,1,개,false
감자수프,버터,2,큰술,false
감자수프,우유,300,ml,false
감자수프,생크림,100,ml,false
감자수프,소금,1,작은술,false
감자수프,후추,0.5,작은술,true
콘수프,옥수수 통조림,1,캔,false
콘수프,양파,0.5,개,false
콘수프,버터,1,큰술,false
콘수프,우유,300,ml,false
콘수프,소금,1,작은술,false
콘수프,후추,0.5,작은술,true
콘수프,생크림,50,ml,true
마라샹궈,양배추,3,장,false
마라샹궈,청경채,3,포기,false
마라샹궈,버섯 표고,3,개,false
마라샹궈,소고기 등심,200,g,false
마라샹궈,새우,5,개,false
마라샹궈,마늘 다진것,2,큰술,false
마라샹궈,청양고추,3,개,false
마라샹궈,식용유,3,큰술,false
마라샹궈,고추,2,개,true
마라샹궈,두부,0.5,모,true
마파두부,두부,1,모,false
마파두부,돼지고기 다짐육,150,g,false
마파두부,고추장,2,큰술,false
마파두부,진간장,1,큰술,false
마파두부,마늘 다진것,1,큰술,false
마파두부,대파,1,대,false
마파두부,식용유,2,큰술,false
마파두부,청양고추,1,개,true
탕수육,돼지고기 등심,400,g,false
탕수육,부침가루,1,컵,false
탕수육,계란,1,개,false
탕수육,양파,0.5,개,false
탕수육,파프리카,0.5,개,false
탕수육,당근,0.5,개,false
탕수육,식초,4,큰술,false
탕수육,설탕,4,큰술,false
탕수육,진간장,2,큰술,false
탕수육,식용유,500,ml,false
탕수육,파인애플,2,쪽,true
짜장면,우동면,2,봉,false
짜장면,돼지고기 다짐육,200,g,false
짜장면,양파,1,개,false
짜장면,감자,1,개,false
짜장면,양배추,2,장,false
짜장면,진간장,3,큰술,false
짜장면,설탕,1,큰술,false
짜장면,식용유,3,큰술,false
짜장면,오이,0.5,개,true
짬뽕,우동면,2,봉,false
짬뽕,오징어,1,마리,false
짬뽕,새우,8,개,false
짬뽕,홍합,10,개,false
짬뽕,양배추,3,장,false
짬뽕,양파,1,개,false
짬뽕,청경채,2,포기,false
짬뽕,고춧가루,2,큰술,false
짬뽕,마늘 다진것,1,큰술,false
짬뽕,대파,1,대,true
유린기,닭다리,400,g,false
유린기,양파,1,개,false
유린기,당근,0.5,개,false
유린기,진간장,3,큰술,false
유린기,식초,3,큰술,false
유린기,설탕,2,큰술,false
유린기,부침가루,1,컵,false
유린기,식용유,500,ml,false
유린기,청양고추,1,개,true
깐풍기,닭다리,400,g,false
깐풍기,청양고추,3,개,false
깐풍기,양파,0.5,개,false
깐풍기,파프리카,0.5,개,false
깐풍기,진간장,2,큰술,false
깐풍기,설탕,2,큰술,false
깐풍기,식초,2,큰술,false
깐풍기,마늘 다진것,1,큰술,false
깐풍기,식용유,500,ml,false
새우볶음밥,쌀,2,공기,false
새우볶음밥,새우,10,개,false
새우볶음밥,계란,2,개,false
새우볶음밥,대파,1,대,false
새우볶음밥,마늘 다진것,1,큰술,false
새우볶음밥,진간장,1,큰술,false
새우볶음밥,식용유,2,큰술,false
새우볶음밥,당근,0.25,개,true
중국식가지볶음,가지,2,개,false
중국식가지볶음,마늘 다진것,2,큰술,false
중국식가지볶음,고추장,2,큰술,false
중국식가지볶음,진간장,1,큰술,false
중국식가지볶음,설탕,1,큰술,false
중국식가지볶음,식용유,4,큰술,false
중국식가지볶음,대파,1,대,true
중국식가지볶음,청양고추,1,개,true
양장피,소면,150,g,false
양장피,새우,8,개,false
양장피,오징어,1,마리,false
양장피,햄,100,g,false
양장피,계란,2,개,false
양장피,오이,1,개,false
양장피,당근,0.5,개,false
양장피,양배추,3,장,false
양장피,진간장,3,큰술,false
양장피,식초,2,큰술,false
양장피,설탕,1,큰술,false
초밥,쌀,2,공기,false
초밥,연어,200,g,false
초밥,식초,3,큰술,false
초밥,설탕,2,큰술,false
초밥,소금,1,작은술,false
초밥,맛김,2,장,true
초밥,오이,0.5,개,true
연어덮밥,쌀,1,공기,false
연어덮밥,연어,150,g,false
연어덮밥,진간장,2,큰술,false
연어덮밥,맛술,1,큰술,false
연어덮밥,쪽파,2,대,false
연어덮밥,맛김,2,장,true
규동,쌀,2,공기,false
규동,소고기 등심,200,g,false
규동,양파,1,개,false
규동,진간장,3,큰술,false
규동,맛술,2,큰술,false
규동,설탕,1,큰술,false
규동,쪽파,1,대,true
규동,계란,1,개,true
오야코동,쌀,2,공기,false
오야코동,닭다리,200,g,false
오야코동,양파,1,개,false
오야코동,계란,2,개,false
오야코동,진간장,2,큰술,false
오야코동,맛술,2,큰술,false
오야코동,설탕,1,큰술,false
오야코동,쪽파,1,대,true
가츠동,쌀,2,공기,false
가츠동,돼지고기 등심,200,g,false
가츠동,양파,1,개,false
가츠동,계란,2,개,false
가츠동,진간장,2,큰술,false
가츠동,맛술,1,큰술,false
가츠동,설탕,1,큰술,false
가츠동,부침가루,0.5,컵,false
가츠동,식용유,500,ml,false
돈가스,돼지고기 등심,300,g,false
돈가스,밀가루,0.5,컵,false
돈가스,계란,2,개,false
돈가스,식빵,3,장,false
돈가스,소금,1,작은술,false
돈가스,후추,1,작은술,false
돈가스,식용유,500,ml,false
우동,우동면,2,봉,false
우동,어묵,3,장,false
우동,쪽파,2,대,false
우동,멸치,15,g,false
우동,진간장,2,큰술,false
우동,맛술,1,큰술,false
야끼소바,우동면,2,봉,false
야끼소바,양배추,3,장,false
야끼소바,당근,0.5,개,false
야끼소바,양파,0.5,개,false
야끼소바,돼지고기 삼겹살,150,g,false
야끼소바,진간장,3,큰술,false
야끼소바,식용유,2,큰술,false
야끼소바,쪽파,1,대,true
미소된장국,된장,2,큰술,false
미소된장국,두부,0.5,모,false
미소된장국,미역,5,g,false
미소된장국,쪽파,1,대,false
미소된장국,멸치,10,g,false
소바,소면,200,g,false
소바,진간장,3,큰술,false
소바,맛술,2,큰술,false
소바,쪽파,2,대,false
소바,맛김,2,장,true
치킨가라아게,닭다리,400,g,false
치킨가라아게,진간장,3,큰술,false
치킨가라아게,맛술,2,큰술,false
치킨가라아게,마늘 다진것,1,큰술,false
치킨가라아게,부침가루,0.5,컵,false
치킨가라아게,밀가루,0.5,컵,false
치킨가라아게,식용유,500,ml,false
치킨가라아게,레몬,0.25,개,true
떡볶이,떡,400,g,false
떡볶이,어묵,2,장,false
떡볶이,고추장,3,큰술,false
떡볶이,고춧가루,1,큰술,false
떡볶이,설탕,2,큰술,false
떡볶이,대파,1,대,false
떡볶이,마늘 다진것,1,큰술,false
떡볶이,계란,2,개,true
떡볶이,양배추,2,장,true
김밥,쌀,2,공기,false
김밥,김,4,장,false
김밥,시금치,100,g,false
김밥,당근,1,개,false
김밥,계란,3,개,false
김밥,참기름,1,큰술,false
김밥,소금,1,작은술,false
김밥,어묵,2,장,true
김밥,햄,2,장,true
라볶이,떡,300,g,false
라볶이,라면,1,개,false
라볶이,어묵,2,장,false
라볶이,고추장,2,큰술,false
라볶이,고춧가루,1,큰술,false
라볶이,설탕,1,큰술,false
라볶이,대파,1,대,false
라볶이,계란,1,개,true
김치전,배추김치,2,컵,false
김치전,부침가루,1,컵,false
김치전,대파,1,대,false
김치전,식용유,3,큰술,false
김치전,청양고추,1,개,true
파전,쪽파,200,g,false
파전,부침가루,1,컵,false
파전,새우,5,개,false
파전,오징어,0.5,마리,false
파전,계란,1,개,false
파전,식용유,3,큰술,false
파전,청양고추,1,개,true
라면,라면,1,개,false
라면,계란,1,개,false
라면,대파,0.5,대,false
라면,청양고추,1,개,true
라면,맛김,1,장,true
치즈라면,라면,1,개,false
치즈라면,치즈 슬라이스,1,장,false
치즈라면,계란,1,개,false
치즈라면,대파,0.5,대,true
김치만두,만두,10,개,false
김치만두,진간장,2,큰술,false
김치만두,식초,1,큰술,false
김치만두,식용유,2,큰술,false
김치만두,쪽파,1,대,true
김치찌개라면,배추김치,1,컵,false
김치찌개라면,라면,1,개,false
김치찌개라면,두부,0.25,모,false
김치찌개라면,대파,0.5,대,false
김치찌개라면,계란,1,개,false
김치찌개라면,고춧가루,0.5,큰술,true
호박전,애호박,1,개,false
호박전,밀가루,0.5,컵,false
호박전,계란,2,개,false
호박전,소금,1,작은술,false
호박전,식용유,3,큰술,false
호박전,간장,1,큰술,true
떡국,떡,400,g,false
떡국,멸치,15,g,false
떡국,계란,2,개,false
떡국,맛김,2,장,false
떡국,국간장,1,큰술,false
떡국,대파,1,대,true
떡국,소고기 양지,100,g,true
티라미수,그릭 요거트,300,g,false
티라미수,생크림,200,ml,false
티라미수,설탕,4,큰술,false
티라미수,연유,2,큰술,false
티라미수,식빵,4,장,false
티라미수,초콜릿,30,g,true
바나나푸딩,바나나,3,개,false
바나나푸딩,우유,300,ml,false
바나나푸딩,연유,2,큰술,false
바나나푸딩,설탕,3,큰술,false
바나나푸딩,계란,2,개,false
바나나푸딩,견과류 믹스,30,g,true
딸기우유,딸기,10,개,false
딸기우유,우유,400,ml,false
딸기우유,설탕,3,큰술,false
초코우유,초콜릿,80,g,false
초코우유,우유,400,ml,false
초코우유,설탕,1,큰술,false
초코우유,호두,15,g,true
초코우유,아몬드,15,g,true
요거트볼,그릭 요거트,200,g,false
요거트볼,블루베리,30,g,false
요거트볼,딸기,5,개,false
요거트볼,견과류 믹스,30,g,false
요거트볼,아몬드,15,g,false
요거트볼,연유,1,큰술,true
과일샐러드,사과,1,개,false
과일샐러드,배,0.5,개,false
과일샐러드,귤,2,개,false
과일샐러드,키위,1,개,false
과일샐러드,망고,0.5,개,false
과일샐러드,그릭 요거트,100,g,false
과일샐러드,견과류 믹스,30,g,true
스무디,블루베리,30,g,false
스무디,딸기,5,개,false
스무디,바나나,1,개,false
스무디,우유,200,ml,false
스무디,그릭 요거트,100,g,false
스무디,설탕,1,큰술,true
아이스크림샌드,식빵,2,장,false
아이스크림샌드,아이스크림,2,스쿱,false
아이스크림샌드,초콜릿,20,g,false
아이스크림샌드,호두,15,g,true
아이스크림샌드,견과류 믹스,15,g,true
바나나구이,바나나,2,개,false
바나나구이,버터,1,큰술,false
바나나구이,연유,1,큰술,false
바나나구이,아몬드,15,g,true
사과파이토스트,사과,1,개,false
사과파이토스트,식빵,2,장,false
사과파이토스트,버터,1,큰술,false
사과파이토스트,설탕,2,큰술,false
사과파이토스트,후추,0.5,작은술,true
육개장,소고기 양지,400,g,false
육개장,콩나물,200,g,false
육개장,대파,3,대,false
육개장,고춧가루,3,큰술,false
육개장,마늘 다진것,2,큰술,false
육개장,국간장,2,큰술,false
육개장,참기름,1,큰술,false
육개장,청양고추,2,개,true
삼계탕,닭고기 통닭,1,마리,false
삼계탕,찹쌀,0.5,컵,false
삼계탕,마늘,5,쪽,false
삼계탕,대파,2,대,false
삼계탕,소금,1,큰술,false
삼계탕,후추,1,작은술,false
삼계탕,생강,1,쪽,true
갈비찜,소갈비,1,kg,false
갈비찜,감자,2,개,false
갈비찜,당근,1,개,false
갈비찜,양파,1,개,false
갈비찜,진간장,5,큰술,false
갈비찜,설탕,3,큰술,false
갈비찜,마늘 다진것,2,큰술,false
갈비찜,참기름,2,큰술,false
갈비찜,대파,1,대,true
보쌈,돼지고기 목살,800,g,false
보쌈,된장,2,큰술,false
보쌈,마늘,5,쪽,false
보쌈,생강,1,쪽,false
보쌈,배추김치,1,컵,false
보쌈,상추,10,장,false
보쌈,깻잎,10,장,false
보쌈,쌈장,2,큰술,false
보쌈,대파,1,대,true
주먹밥,쌀,2,공기,false
주먹밥,참치 통조림,1,캔,false
주먹밥,참기름,1,큰술,false
주먹밥,소금,1,작은술,false
주먹밥,맛김,3,장,false
주먹밥,쪽파,1,대,true
참치마요덮밥,쌀,1,공기,false
참치마요덮밥,참치 통조림,1,캔,false
참치마요덮밥,계란,1,개,false
참치마요덮밥,맛김,1,장,false
참치마요덮밥,후추,0.5,작은술,false
참치마요덮밥,쪽파,1,대,true
스팸마요덮밥,쌀,1,공기,false
스팸마요덮밥,스팸,150,g,false
스팸마요덮밥,계란,1,개,false
스팸마요덮밥,진간장,1,큰술,false
스팸마요덮밥,맛김,1,장,true
스팸마요덮밥,쪽파,1,대,true
옥수수치즈,옥수수 통조림,1,캔,false
옥수수치즈,모짜렐라 치즈,80,g,false
옥수수치즈,설탕,1,큰술,false
옥수수치즈,버터,1,큰술,true
어묵볶음,어묵,300,g,false
어묵볶음,양파,0.5,개,false
어묵볶음,당근,0.5,개,false
어묵볶음,진간장,2,큰술,false
어묵볶음,설탕,1,큰술,false
어묵볶음,마늘 다진것,1,큰술,false
어묵볶음,식용유,1,큰술,false
어묵볶음,대파,1,대,true
어묵볶음,청양고추,1,개,true
소시지야채볶음,소시지,5,개,false
소시지야채볶음,양파,1,개,false
소시지야채볶음,파프리카,0.5,개,false
소시지야채볶음,양배추,2,장,false
소시지야채볶음,진간장,1,큰술,false
소시지야채볶음,설탕,1,큰술,false
소시지야채볶음,식용유,1,큰술,false
스팸김치볶음밥,쌀,2,공기,false
스팸김치볶음밥,스팸,100,g,false
스팸김치볶음밥,배추김치,1,컵,false
스팸김치볶음밥,계란,1,개,false
스팸김치볶음밥,식용유,1,큰술,false
스팸김치볶음밥,참기름,1,작은술,false
스팸김치볶음밥,대파,1,대,true
스팸김치볶음밥,맛김,1,장,true
계란밥,쌀,1,공기,false
계란밥,계란,1,개,false
계란밥,진간장,1,큰술,false
계란밥,참기름,1,작은술,false
계란밥,맛김,1,장,false
계란밥,식용유,1,작은술,true
