name,description,cook_minutes,difficulty,servings,instructions_md
토마토파스타,"기본 토마토 스파게티",35,medium,2,"1. 스파게티를 끓는 소금물에 8분 삶는다.\n2. 팬에 올리브오일과 다진 마늘을 볶는다.\n3. 토마토를 넣고 끓인다.\n4. 면을 넣고 버무린 후 후추를 뿌린다."
크림파스타,"부드러운 베이컨 크림 파스타",35,medium,2,"1. 스파게티를 8분 삶는다.\n2. 베이컨을 볶고 양파와 마늘을 추가한다.\n3. 생크림과 우유를 부어 졸인다.\n4. 면과 모짜렐라 치즈를 넣고 버무린다."
오일파스타,"마늘 향 가득한 알리오올리오",35,medium,2,"1. 스파게티를 8분 삶는다.\n2. 올리브오일에 마늘을 약불에서 볶는다.\n3. 청양고추를 넣는다.\n4. 면수와 면을 넣고 빠르게 볶는다."
까르보나라,"진한 베이컨 크림 파스타",35,medium,2,"1. 스파게티를 8분 삶는다.\n2. 베이컨을 바삭하게 굽는다.\n3. 계란 노른자와 체다 치즈를 섞는다.\n4. 면에 베이컨과 계란 소스를 빠르게 버무린다."
샐러드,"기본 야채 샐러드",10,easy,2,"1. 상추를 깨끗이 씻는다.\n2. 방울토마토와 오이를 썬다.\n3. 올리브오일과 식초로 드레싱을 만든다.\n4. 모든 재료를 그릇에 담고 드레싱을 뿌린다."
시저샐러드,"바삭한 베이컨 시저샐러드",15,easy,2,"1. 상추를 한입 크기로 썬다.\n2. 베이컨을 바삭하게 굽는다.\n3. 식빵을 큐브로 잘라 굽는다.\n4. 체다 치즈와 함께 올린다."
오믈렛,"부드러운 치즈 오믈렛",10,easy,1,"1. 계란 3개를 풀어 우유와 섞는다.\n2. 팬에 버터를 녹인다.\n3. 계란을 부어 익힌다.\n4. 모짜렐라 치즈를 올리고 반으로 접는다."
프렌치토스트,"달콤한 아침 프렌치토스트",10,easy,2,"1. 계란과 우유, 설탕을 섞는다.\n2. 식빵을 적신다.\n3. 팬에 버터를 녹이고 노릇하게 굽는다.\n4. 연유를 뿌린다."
햄치즈토스트,"기본 햄치즈 토스트",10,easy,1,"1. 식빵을 살짝 굽는다.\n2. 버터를 바른다.\n3. 햄과 치즈 슬라이스를 올린다.\n4. 다시 한 번 구워 치즈를 녹인다."
샌드위치,"든든한 야채 샌드위치",15,easy,2,"1. 식빵에 버터를 바른다.\n2. 상추, 토마토, 오이를 올린다.\n3. 햄과 치즈 슬라이스를 올린다.\n4. 다른 식빵으로 덮어 반으로 자른다."
피자토스트,"간단한 피자 토스트",15,easy,2,"1. 식빵에 토마토를 으깨 바른다.\n2. 모짜렐라 치즈를 듬뿍 올린다.\n3. 베이컨과 파프리카를 올린다.\n4. 팬에서 치즈가 녹을 때까지 굽는다."
함박스테이크,"수제 함박스테이크",45,medium,2,"1. 돼지고기 다짐육과 다진 양파를 섞는다.\n2. 계란과 식빵 가루로 반죽한다.\n3. 팬에 노릇하게 굽는다.\n4. 토마토 소스를 끼얹는다."
스테이크,"미디엄 소고기 스테이크",35,medium,2,"1. 소고기 등심을 실온에 30분 둔다.\n2. 소금과 후추로 간한다.\n3. 팬을 달궈 올리브오일을 두르고 양면을 굽는다.\n4. 버터와 마늘을 넣어 향을 더한다."
새우튀김,"바삭한 새우튀김",40,medium,2,"1. 새우의 껍질을 벗기고 칼집을 낸다.\n2. 부침가루와 차가운 물로 반죽한다.\n3. 새우에 반죽을 묻힌다.\n4. 식용유에 노릇하게 튀긴다."
연어스테이크,"팬에 구운 연어 스테이크",15,easy,2,"1. 연어에 소금과 후추를 뿌린다.\n2. 올리브오일을 두르고 팬을 달군다.\n3. 양면을 노릇하게 굽는다.\n4. 레몬과 버터를 곁들인다."
닭가슴살구이,"담백한 닭가슴살 구이",20,easy,2,"1. 닭가슴살에 소금과 후추를 뿌린다.\n2. 올리브오일에 마늘과 함께 굽는다.\n3. 양면을 노릇하게 익힌다.\n4. 레몬을 짜 곁들인다."
치킨샐러드,"든든한 치킨 시저샐러드",20,easy,2,"1. 닭가슴살을 구워 한입 크기로 썬다.\n2. 상추와 방울토마토를 준비한다.\n3. 체다 치즈를 채 썬다.\n4. 올리브오일과 레몬으로 드레싱을 만든다."
오믈렛라이스,"케첩 오므라이스",20,medium,2,"1. 양파와 햄을 다져 볶는다.\n2. 밥을 넣고 케첩으로 볶는다.\n3. 계란을 풀어 부친다.\n4. 볶음밥 위에 계란을 올려 감싼다."
감자수프,"고소한 감자 크림수프",35,medium,3,"1. 감자와 양파를 깍둑썬다.\n2. 버터에 양파를 볶고 감자를 넣는다.\n3. 우유와 생크림을 부어 끓인다.\n4. 소금으로 간하고 곱게 으깬다."
콘수프,"달콤한 옥수수 수프",15,easy,2,"1. 옥수수 통조림의 물기를 뺀다.\n2. 양파를 다져 버터에 볶는다.\n3. 옥수수와 우유를 넣고 끓인다.\n4. 소금과 후추로 간한다."
마라샹궈,"매콤한 중국식 채소 볶음",50,hard,2,"1. 양배추, 청경채, 표고 버섯을 손질한다.\n2. 소고기와 새우를 데친다.\n3. 다진 마늘과 청양고추를 볶는다.\n4. 모든 재료를 넣고 빠르게 볶는다."
마파두부,"매콤한 사천식 두부 요리",25,medium,2,"1. 두부를 깍둑썰어 데친다.\n2. 돼지고기 다짐육을 볶는다.\n3. 고추장과 진간장으로 양념을 만든다.\n4. 두부와 함께 끓이고 대파를 올린다."
탕수육,"바삭한 돼지고기 탕수육",60,hard,3,"1. 돼지고기 등심을 한입 크기로 썬다.\n2. 부침가루로 튀김옷을 입혀 두 번 튀긴다.\n3. 식초, 설탕, 진간장으로 소스를 만든다.\n4. 양파, 파프리카, 당근을 넣어 소스를 끓인다."
짜장면,"홈메이드 짜장면",45,medium,2,"1. 우동면을 삶아 찬물에 헹군다.\n2. 돼지고기 다짐육을 볶는다.\n3. 양파, 감자, 양배추를 깍둑썬다.\n4. 진간장과 채소, 고기를 넣어 걸쭉하게 끓인다."
짬뽕,"얼큰한 해물 짬뽕",40,medium,2,"1. 우동면을 삶는다.\n2. 오징어, 새우, 홍합을 손질한다.\n3. 양배추, 양파, 청경채를 볶는다.\n4. 고춧가루로 매운 육수를 만들어 면 위에 붓는다."
유린기,"바삭한 닭다리 유린기",45,medium,2,"1. 닭다리살을 한입 크기로 튀긴다.\n2. 양파와 당근을 채 썬다.\n3. 진간장, 식초, 설탕으로 소스를 만든다.\n4. 튀긴 닭에 채소와 소스를 끼얹는다."
깐풍기,"매콤달콤 깐풍기",45,medium,2,"1. 닭다리를 깍둑썰어 튀긴다.\n2. 청양고추, 양파, 파프리카를 다진다.\n3. 진간장, 설탕, 식초로 소스를 만든다.\n4. 튀긴 닭에 소스와 채소를 버무린다."
새우볶음밥,"고슬고슬한 중식 새우볶음밥",35,medium,2,"1. 새우를 손질한다.\n2. 팬에 식용유를 두르고 계란을 볶는다.\n3. 새우와 다진 마늘을 볶는다.\n4. 밥과 대파를 넣고 진간장으로 간한다."
중국식가지볶음,"매콤한 어향가지",35,medium,2,"1. 가지를 길쭉하게 썬다.\n2. 식용유에 가지를 튀긴다.\n3. 다진 마늘, 고추장, 진간장으로 소스를 만든다.\n4. 가지와 소스를 함께 볶는다."
양장피,"새콤달콤 양장피",60,hard,3,"1. 소면을 삶고 채소를 채 썬다.\n2. 새우와 오징어를 데친다.\n3. 햄과 계란지단을 만든다.\n4. 진간장, 식초, 설탕으로 무친다."
초밥,"기본 연어 초밥",45,hard,2,"1. 쌀을 고슬고슬하게 짓는다.\n2. 식초, 설탕, 소금으로 단촛물을 만든다.\n3. 밥에 단촛물을 섞는다.\n4. 한입 크기로 뭉치고 연어를 올린다."
연어덮밥,"신선한 연어덮밥",20,medium,2,"1. 연어를 한입 크기로 썬다.\n2. 진간장과 맛술로 양념한다.\n3. 밥 위에 연어를 올린다.\n4. 맛김과 쪽파를 뿌린다."
규동,"부드러운 일본식 소고기덮밥",35,medium,2,"1. 양파를 채 썬다.\n2. 소고기 등심을 얇게 썬다.\n3. 진간장, 맛술, 설탕으로 양념국물을 만든다.\n4. 양파와 고기를 끓여 밥 위에 올린다."
오야코동,"닭고기 계란덮밥",35,medium,2,"1. 닭다리살을 한입 크기로 썬다.\n2. 양파를 채 썬다.\n3. 진간장, 맛술, 설탕으로 끓인다.\n4. 계란을 풀어 부드럽게 익혀 밥 위에 올린다."
가츠동,"돈가스 계란덮밥",35,medium,2,"1. 돈가스를 한입 크기로 썬다.\n2. 양파를 채 썰어 양념국물에 끓인다.\n3. 돈가스를 넣고 살짝 끓인다.\n4. 계란을 풀어 부드럽게 익히고 밥 위에 올린다."
돈가스,"바삭한 일본식 돈가스",45,hard,2,"1. 돼지고기 등심을 두툼하게 썬다.\n2. 소금과 후추로 간한다.\n3. 밀가루, 계란, 식빵 가루 순으로 묻힌다.\n4. 식용유에 노릇하게 튀긴다."
우동,"따뜻한 어묵 우동",35,medium,2,"1. 멸치로 육수를 낸다.\n2. 우동면을 삶는다.\n3. 어묵과 쪽파를 준비한다.\n4. 그릇에 면을 담고 육수를 부어 어묵을 올린다."
야끼소바,"일본식 볶음면",20,easy,2,"1. 우동면을 살짝 삶는다.\n2. 양배추, 당근, 양파를 채 썬다.\n3. 돼지고기 삼겹살을 볶는다.\n4. 면과 채소를 진간장에 볶는다."
미소된장국,"두부 미소국",10,easy,2,"1. 멸치로 육수를 낸다.\n2. 된장을 풀고 약불에서 끓인다.\n3. 두부와 미역을 넣는다.\n4. 쪽파를 올려 마무리한다."
소바,"시원한 메밀소바",15,easy,2,"1. 소면을 삶는다.\n2. 찬물에 헹궈 그릇에 담는다.\n3. 진간장, 맛술로 쯔유를 만든다.\n4. 쪽파를 곁들인다."
치킨가라아게,"바삭한 일본식 닭튀김",45,medium,3,"1. 닭다리살을 한입 크기로 썬다.\n2. 진간장, 맛술, 다진 마늘로 30분 재운다.\n3. 부침가루와 밀가루를 섞어 묻힌다.\n4. 식용유에 노릇하게 튀긴다."
떡볶이,"국민 분식 떡볶이",35,medium,2,"1. 떡을 미지근한 물에 5분 불린다.\n2. 어묵을 한입 크기로 썬다.\n3. 고추장, 고춧가루, 설탕으로 양념을 만든다.\n4. 물과 함께 끓이며 떡과 어묵을 넣는다."
김밥,"기본 야채 김밥",40,medium,3,"1. 밥에 참기름과 소금으로 밑간한다.\n2. 시금치와 당근을 준비한다.\n3. 계란을 부쳐 길게 썬다.\n4. 김 위에 밥을 깔고 재료를 올려 만다."
라볶이,"라면과 떡볶이의 만남",15,easy,2,"1. 떡과 어묵을 끓는 물에 데친다.\n2. 고추장과 고춧가루로 양념을 만든다.\n3. 라면을 넣고 끓인다.\n4. 대파를 올려 마무리한다."
김치전,"바삭한 김치 부침개",15,easy,2,"1. 배추김치를 잘게 썬다.\n2. 부침가루와 물을 섞어 반죽한다.\n3. 김치와 송송 썬 대파를 넣는다.\n4. 팬에 노릇하게 부친다."
파전,"고소한 해물 파전",35,medium,2,"1. 쪽파를 길게 썬다.\n2. 부침가루와 물로 반죽을 만든다.\n3. 새우와 오징어를 손질한다.\n4. 팬에 파를 깔고 반죽을 부어 노릇하게 굽는다."
라면,"기본 라면",10,easy,1,"1. 물을 끓인다.\n2. 라면을 넣는다.\n3. 4분간 끓인다.\n4. 계란을 풀어 마무리한다."
치즈라면,"고소한 치즈 라면",10,easy,1,"1. 라면을 일반 방식대로 끓인다.\n2. 끓는 라면에 치즈 슬라이스를 올린다.\n3. 계란을 풀어 넣는다.\n4. 대파를 송송 썰어 올린다."
김치만두,"매콤한 김치만두 부침",15,easy,2,"1. 만두를 끓는 물에 데친다.\n2. 팬에 식용유를 두르고 굽는다.\n3. 진간장으로 양념간장을 만든다.\n4. 만두를 곁들여 낸다."
김치찌개라면,"라면과 김치찌개의 만남",15,easy,2,"1. 김치를 볶고 물을 부어 끓인다.\n2. 라면을 넣는다.\n3. 4분간 끓인다.\n4. 대파와 계란을 올린다."
호박전,"애호박 부침개",15,easy,2,"1. 애호박을 동글게 썬다.\n2. 소금에 살짝 절인다.\n3. 밀가루와 계란을 묻힌다.\n4. 팬에 노릇하게 부친다."
떡국,"새해 떡국",20,easy,2,"1. 멸치 육수를 끓인다.\n2. 떡을 미지근한 물에 불린다.\n3. 떡을 육수에 넣고 끓인다.\n4. 계란지단과 맛김을 올린다."
티라미수,"이탈리아 디저트 티라미수",45,medium,4,"1. 그릭 요거트와 생크림을 휘핑한다.\n2. 설탕과 연유를 섞는다.\n3. 식빵을 살짝 적신다.\n4. 크림과 빵을 층층이 쌓고 냉장 보관한다."
바나나푸딩,"부드러운 바나나 푸딩",35,medium,3,"1. 우유와 연유를 데운다.\n2. 설탕과 계란 노른자를 섞는다.\n3. 바나나를 동글게 썬다.\n4. 컵에 푸딩과 바나나를 층층이 담는다."
딸기우유,"홈메이드 딸기우유",10,easy,2,"1. 딸기를 깨끗이 씻는다.\n2. 설탕에 으깬다.\n3. 우유를 부어 섞는다.\n4. 차가운 컵에 담아 낸다."
초코우유,"진한 초콜릿 우유",10,easy,2,"1. 초콜릿을 잘게 부순다.\n2. 우유를 따뜻하게 데운다.\n3. 초콜릿을 녹여 섞는다.\n4. 차게 식혀 낸다."
요거트볼,"건강한 그릭 요거트볼",10,easy,1,"1. 그릭 요거트를 그릇에 담는다.\n2. 블루베리와 딸기를 올린다.\n3. 견과류 믹스와 아몬드를 뿌린다.\n4. 연유를 살짝 두른다."
과일샐러드,"신선한 과일 샐러드",15,easy,3,"1. 사과, 배, 귤을 한입 크기로 썬다.\n2. 키위와 망고도 썬다.\n3. 그릭 요거트로 드레싱한다.\n4. 견과류 믹스를 뿌린다."
스무디,"베리 스무디",10,easy,2,"1. 블루베리, 딸기, 바나나를 준비한다.\n2. 우유와 그릭 요거트를 넣는다.\n3. 설탕을 살짝 넣는다.\n4. 믹서에 곱게 간다."
아이스크림샌드,"식빵 아이스크림 샌드위치",10,easy,2,"1. 식빵을 살짝 굽는다.\n2. 아이스크림을 한 스쿱 올린다.\n3. 다른 식빵으로 덮는다.\n4. 호두를 곁들인다."
바나나구이,"달콤한 구운 바나나",15,easy,2,"1. 바나나를 반으로 가른다.\n2. 팬에 버터를 녹인다.\n3. 바나나를 노릇하게 굽는다.\n4. 연유를 두르고 아몬드를 뿌린다."
사과파이토스트,"간단한 사과파이 토스트",15,easy,2,"1. 사과를 얇게 썬다.\n2. 버터에 사과와 설탕을 볶는다.\n3. 식빵에 사과를 올린다.\n4. 팬에 노릇하게 굽는다."
육개장,"매운 소고기 국밥",90,hard,4,"1. 소고기 양지를 푹 삶는다.\n2. 고기를 결대로 찢는다.\n3. 콩나물과 대파를 준비한다.\n4. 고춧가루와 다진 마늘로 매운 육수를 만든다."
삼계탕,"보양 삼계탕",90,hard,2,"1. 닭고기 통닭에 찹쌀과 마늘을 채운다.\n2. 큰 냄비에 닭과 물을 넣는다.\n3. 약불에서 1시간 끓인다.\n4. 소금과 후추로 간한다."
갈비찜,"부드러운 소갈비찜",120,hard,4,"1. 소갈비를 찬물에 핏물을 뺀다.\n2. 데치고 깨끗이 씻는다.\n3. 진간장과 설탕으로 양념한다.\n4. 감자, 당근과 함께 푹 조린다."
보쌈,"부드러운 돼지고기 보쌈",120,hard,4,"1. 돼지고기 목살을 된장과 함께 삶는다.\n2. 푹 익으면 결대로 썬다.\n3. 배추김치를 곁들인다.\n4. 상추와 깻잎에 싸 먹는다."
주먹밥,"참치 주먹밥",10,easy,2,"1. 참치 통조림의 기름을 뺀다.\n2. 따뜻한 밥에 참기름과 소금을 넣는다.\n3. 밥을 동그랗게 뭉쳐 참치를 넣는다.\n4. 맛김에 묻힌다."
참치마요덮밥,"든든한 참치마요덮밥",10,easy,1,"1. 참치 통조림의 기름을 뺀다.\n2. 후추로 무친다.\n3. 밥 위에 참치를 올린다.\n4. 계란 후라이와 맛김을 올린다."
스팸마요덮밥,"간단한 스팸 덮밥",10,easy,1,"1. 스팸을 도톰하게 썰어 굽는다.\n2. 계란 후라이를 만든다.\n3. 밥 위에 스팸과 계란을 올린다.\n4. 진간장을 두른다."
옥수수치즈,"고소한 옥수수 치즈구이",15,easy,2,"1. 옥수수 통조림의 물기를 뺀다.\n2. 설탕을 살짝 섞는다.\n3. 그릇에 담고 모짜렐라 치즈를 올린다.\n4. 팬에서 치즈가 녹을 때까지 굽는다."
어묵볶음,"달짝지근 어묵볶음",15,easy,2,"1. 어묵을 한입 크기로 썬다.\n2. 양파와 당근을 채 썬다.\n3. 진간장, 설탕, 다진 마늘로 양념한다.\n4. 모든 재료를 함께 볶는다."
소시지야채볶음,"아이들이 좋아하는 소시지볶음",15,easy,2,"1. 소시지에 칼집을 낸다.\n2. 양파, 파프리카, 양배추를 썬다.\n3. 진간장과 설탕으로 양념한다.\n4. 모든 재료를 함께 볶는다."
스팸김치볶음밥,"든든한 스팸김치볶음밥",15,easy,2,"1. 스팸을 작게 썰어 볶는다.\n2. 김치를 잘게 썰어 함께 볶는다.\n3. 밥을 넣고 함께 볶는다.\n4. 계란 후라이를 올린다."
계란밥,"간단한 한 끼 계란밥",10,easy,1,"1. 따뜻한 밥에 계란 후라이를 올린다.\n2. 진간장과 참기름을 두른다.\n3. 맛김을 부수어 뿌린다.\n4. 비벼 먹는다."
